ID,Unique_ID,State_UT,District,Disease_Illness,No_of_Cases,No_of_Deaths,Date_of_Start_of_Outbreak,Date_of_Reporting,Current_Status,Comments_Action_Taken,Source_Table,Source_PDF,Northeast_State
65,AS/DAR/2019/25/0692,Assam,Darrang (Mangaldoi),Food Poisoning,35.0,0.0,19-06-19,19-06-19,Under Control,"Cases reported from Village Mollapara, SC Mollapara, BPHC Jaljali. District RRT investigated the outbreak. All had history of consuming food in a ceremony. Of all 12 people who consumed food 11 felt sick with abdominal pain and vomiting. All case treated. The source of drinking water is tube-well. 8...",2,25756315101563359659.pdf,Assam
66,AP/WSN/2022/19/224,Arunachal Pradesh,West Siang,Food Poisoning,9.0,5.0,01-01-22,07-01-22,Under Control,"Cases reported from Karpu Kendra Vidyalaya, Bogdo Colony, Aalo, District – West Siang. Cases presented with loose stools and vomiting. District RRT investigated the outbreak and house to house survey was conducted. All cases were given symptomatic treatment and ORS sachets were distributed. Health e...",1,25831535421658994103.pdf,Arunachal Pradesh
67,AS/GLG/2019/31/0953,Assam,Golaghat,Food Poisoning,16.0,0.0,31-07-19,01-08-19,Under Surveillance,"Cases reported from Village Duboroni, SC Kachomari Notional, PHC Kachomari, Block Kamarbandha. District RRT investigated the outbreak. The affected individuals’ age ranged between 0 and 61 years. All cases gave history of consuming in the area. A total of 02 stool samples were collected and sent to ...",1,28346714001569322122.pdf,Assam
68,AS/TIN/2019/31/0955,Assam,Tinsukia,Acute Diarrheal Disease,16.0,0.0,31-07-19,01-08-19,Under Surveillance,"Cases reported from tea garden workers in Village Gellapukhuri, BPHC Hapjan. District RRT investigated the outbreak. A total of 03 water samples and 2 stool samples were collected and sent to AMCH Microbiology for MNP and culture sensitivity, results awaited. All cases treated symptomatically. Healt...",1,28346714001569322122.pdf,Assam
69,AR/EKM/2019/34/1040,Arunachal Pradesh,East Kameng,Acute Diarrheal Disease,37.0,0.0,24-08-19,25-08-19,No new cases reported,"Cases reported from Jawahar Navodaya Vidyalaya, New Seppa. District RRT investigated the outbreak. House to house survey done. Water sample collected; result awaited. All cases treated symptomatically. IEC done regarding safe drinking water and personal hygiene.",3,29559503671572417006.pdf,Arunachal Pradesh
70,AR/EKM/2019/34/1041,Arunachal Pradesh,East Kameng,Acute Diarrheal Disease,37.0,0.0,24-08-19,25-08-19,No new cases reported,"Cases reported from Kasturba Gandhi Balika Vidyalaya, PHC Bameng. District RRT investigated the outbreak. House to house survey done. Water sample collected; result awaited. All cases treated symptomatically. IEC done regarding safe drinking water and personal hygiene.",3,29559503671572417006.pdf,Arunachal Pradesh
71,AS/DAR/2019/34/1042,Assam,Darrang (Mangaldoi),Food Poisoning,37.0,0.0,24-08-19,25-08-19,No new cases reported,"Cases reported from Village Jaljali, SC Hapamara, BPHC Samala. District RRT investigated the outbreak. Active search for cases done. Cases consumed food (Prasad bhog) in religious ceremony (rice flour, milk, banana, apple, mango, ghee) and presented with symptoms of vomiting and loose motion. 02 wat...",3,29559503671572417006.pdf,Assam
72,AS/DAR/2025/25/1068,Assam,Darrang,Suspected Food Poisoning,21.0,6.0,01-01-25,07-01-25,Under Surveillance,"Cases were reported from Village Saruthe kerabari, Sub-District Mangaldoi (Pt), District Darrang. Cases presented with loose stools and vomiting. Rectal swab and 1 water sample were tested. Rectal swab did not show growth of any pathogenic organism. Water sample found fit for potable purpose. Distri...",3,32429740761754893177.pdf,Assam
73,AS/DHE/2023/33/953,Assam,Dhemaji,Acute Diarrheal Disease,17.0,8.0,01-01-23,07-01-23,Under Surveillance,"Cases were reported from Chenaichuk HWC, Village: Bali Gaon, Sub-District: Dhemaji, District: Dhemaji. Cases presented with loose motion, vomiting and abdominal pain. Two Water samples were sent to DPHL Dhemaji which showed no coliform Bacilli/10ml on MPN test. District RRT investigated the outbreak...",2,33666127771697525084.pdf,Assam
74,AS/SNT/2019/32/0988,Assam,Sonitpur (Tezpur),Food Poisoning,7.0,8.0,01-01-19,07-01-19,Under Investigation,"Cases reported from Village Soibari Kurmi Gaon, PHC Itakhola, Block North Jamuguri. District RRT investigated the outbreak. Active search for cases done. Cases consumed food (fish pumpkin curry) and presented with symptoms of vomiting and loose motion. Water samples collected and sent to Microbiolog...",3,3386018991569841125.pdf,Assam
75,AS/NLB/2019/27/0779,Assam,Nalbari,Food Poisoning,282.0,0.0,30-06-19,06-07-19,Under Control,"Cases reported from Village Ukhura, SC Kotalkuchi, BPHC Kamarkuchi. District RRT investigated the outbreak. All cases were family members and had history of consuming fermented rice with brown chickpeas chutney that was made in home. Cases presented with fever and vomiting. 3 water samples sent to D...",3,35559832711564989155.pdf,Assam
76,AS/BPT/2020/40/440,Assam,Barpeta,Food Poisoning,106.0,0.0,02-10-20,03-10-20,Under Control,"Cases reported from Village Kardoiguri, Bijni Chupa, PHC Dhemsa, BPHC Nityananda. District RRT investigated the outbreak. Cases consumed food in social ceremony and presented with symptoms of vomiting and loose motion. 02 water and 1 stool samples collected and sent to FAAMCH Barpeta. Cases treated ...",3,35786420331606195227.pdf,Assam
77,AS/KAR/2025/24/998,Assam,Karimganj,Typhoid,14.0,5.0,01-01-25,07-01-25,Under Surveillance,"Cases were reported from Sub-District Nilambazar, District Karimganj. Cases presented with fever, headache, vomiting and abdominal pain. The affected age group was 10-40 years. Blood samples from all 7 cases tested positive for Typhoid by Widal test at Nilambazar PHC. District RRT investigated the o...",3,40497724221754048530.pdf,Assam
78,AS/KAD/2021/05/0040,Assam,Karbianglog (Diphu),Food Poisoning,1.0,1.0,29-01-21,02-02-21,Under Control,"Cases reported from Village Diphu Urban, DMCH Diphu, PHC Manja BPHC, Block Manja. Cases presented with vomiting and loose motion. District RRT investigated the outbreak. Health education was given regarding use of safe drinking water and importance of personal hygiene.",3,4197231291617278271.pdf,Assam
79,AP/LHT/2021/28/0285,Arunachal Pradesh,Lohit,Acute Diarrheal Disease,4.0,0.0,13-07-21,13-07-21,Under Control,"Cases reported from Village–Wakro, CHC–Wakro. All the patients belonged to same family. They consumed some unidentified wild fruit after that they started vomiting and also showed other symptoms like headache, loose motion & unable to walk. Sample not collected. District RRT investigated the outbrea...",3,47953744461634031895.pdf,Arunachal Pradesh
80,AS/BKA/2023/37/1203,Assam,Baksa,Food Poisoning,11.0,9.0,01-01-23,07-01-23,Under Surveillance,"Cases were reported from Tupalia Baganpara MPHC, district Baksa. Cases presented with loose stool & vomiting. A total of 5 stool and 2 water samples were collected & sent to DPHL Nalbari. Stool samples showed growth of E.coli on culture and water was found to be satisfactory for drinking purpose by ...",2,47975176701700192645.pdf,Assam
81,AS/KMR/2020/01/0003,Assam,Kamrup,Acute Diarrheal Disease,26.0,0.0,02-01-20,03-01-20,Under Control,"Cases reported from Village Rawanboi. SC Gondhmow, BPHC Sualkuchi. District RRT investigated the outbreak. House to house survey done. Cases presented with vomiting, low grade fever, loose stools and pain abdomen after consuming food in a religious gathering. Food samples collected and sent to Micro...",2,48719514701583384078.pdf,Assam
82,AR/PAK/2025/18/738,Arunachal Pradesh,Pakke Kessang,Acute Diarrheal Disease,29.0,4.0,01-01-25,07-01-25,Under Surveillance,"Case was reported from PHC Rilloh, Rilloh Village, Sub-District EAC Pakke Kessang, District Pakke Kessang. Cases presented with symptoms of loose motion and vomiting. Three stool samples were collected and sent to DPHL, TRIHMS, Naharlagun, all were positive for E.coli. District RRT investigated the ...",2,49519545601751257248.pdf,Arunachal Pradesh
83,AS/CHA/2025/18/739,Assam,Charaideo,Food Poisoning (Mushroom Poisoning),2.0,5.0,01-01-25,07-01-25,Under Surveillance,"Cases were reported from Sonari Urban Centre, Village: Banfera Grant, Sub-District Sonari, District: Charaideo. Cases presented with diarrhea and vomiting after consumption of wild mushrooms from a same family. District RRT investigated the outbreak. Community awareness and health education given by...",2,49519545601751257248.pdf,Assam
84,AS/KMR/2020/17/274,Assam,Kamrup,Typhoid,45.0,0.0,18-04-20,21-04-20,Under Control,"Cases reported from Village Amingaon Area, SC Mariapatti, BPHC North Guwahati. District RRT investigated the outbreak. Public Health Engineering Department was informed.House to house survey conducted. Cases presented with fever, loose stools and pain abdomen. No history of travel present. A total o...",3,49994483731596602292.pdf,Assam
85,AS/DAR/2020/17/276,Assam,Darrang,Bacillary Dysentery,45.0,0.0,18-04-20,21-04-20,Under Control,"Cases reported from Village Senpatipara, SC Burhinagar, BPHC Patharighat. District RRT investigated the outbreak. 02 water samples collected and 01 was found to be positive and other negative. A single sample collected for MPN test and sent to DPHL, Darrang was found suspicious for drinking. All cas...",3,49994483731596602292.pdf,Assam
86,AS/JRT/2021/15/0169,Meghalaya,East Garo Hills,Acute Diarrheal Disease,24.0,0.0,09-04-21,12-04-21,Under Control,"Cases reported from Village Williamnagar Civil Hospital, Block Samanda. Cases presented with loose stools, fever and abdominal pain. 05 stool samples & 05 water samples were sent for lab analysis. Out of 5 stools samples, 4 were found to be positive for Escherichia coli. Water samples showed no path...",3,50142595531625035099.pdf,Assam
87,AS/NGO/2017/31/1123,Assam,Nagaon,Food Poisoning,19.0,0.0,01-01-17,07-01-17,Under Control,"Cases reported from Village PuraniSatra, SC Dolgaon, PHC Jakhalabandha. District RRT investigated the outbreak. House to house survey done. 6 samples of remaining Mah Prasad, containing Boot and Mogu (Gram & Bean), Gur Mithoi (Jaggery) and raw food material from the Whole Sale Shop collected and sen...",3,51763589431504854769.pdf,Assam
88,AS/LKM/2020/46/467,Assam,Lakhimpur,Food Poisoning,11.0,11.0,01-01-20,07-01-20,Under Investigation,"Cases reported from Korokoni, SC Goroimari, BPHC Boginodi. District RRT investigated the outbreak. Cases consumed food in social ceremony and presented with symptoms of vomiting and loose motion. 02 stool and 1 water samples collected. Stool samples were found negative for enteropathogens. Cases tre...",1,52195839271608540270.pdf,Assam
89,AR/LOH/2025/27/1179,Arunachal Pradesh,Lohit,Acute Diarrheal Disease,30.0,6.0,01-01-25,07-01-25,Under Control,"Cases were reported from Vivekananda Kendra Vidyalaya, Sunpura, Sub-District Sunpura Circle, District Lohit. Cases presented with loose motion, vomiting and pain abdomen. 2 blood samples were collected and sent to RMRC-ICMR, Dibrugarh. One sample tested positive for E.Coli (Shiga Toxin Producing E.C...",2,5346251801755842541.pdf,Arunachal Pradesh
90,AS/DIB/2025/27/1180,Assam,Dibrugarh,Suspected Food Poisoning,29.0,6.0,01-01-25,07-01-25,Under Control,"Cases were reported from Village Lukhura khania, Sub-District Chabua, District Dibrugarh. Cases presented with pain abdomen, loose stools and vomiting. 3 rectal swabs and 2 water samples were collected and sent to AMCH Dibrugarh. Rectal swabs did not show growth of any pathogenic organism, water sam...",2,5346251801755842541.pdf,Assam
91,AS/MAR/2023/19/379,Assam,Marigaon,Acute Diarrheal Disease,13.0,5.0,01-01-23,07-01-23,Under Control,"Cases reported from Village Niz Kapahera, Block Bhurbandha, District Morigaon. Cases presented with fever, vomiting and pain abdomen. 1 stool sample collected and sent to GMCH. District RRT investigated the outbreak. The cases were in the age group of 5 to 65 years. Stool culture report were negativ...",2,55850372501688721705.pdf,Assam
92,AS/SBS/2023/02/33,Assam,Charaideo,Acute Diarrheal Disease,9.0,1.0,01-01-23,07-01-23,Under Control,"Cases reported from : Patsaku BPHC, Sub- district Mahmora, District Charaideo. Cases presented with fever, loose stools and abdominal pain. Five rectal swabs, two water samples and two blood samples were sent for laboratory investigation. Out of five stools samples, two were found positive for E.col...",2,5598982481677737839.pdf,Assam
93,AS/NLB/2020/45/461,Assam,Nalbari,Food Poisoning,36.0,0.0,02-11-20,05-11-20,Under Control,"Cases reported from Village Dolgobindapur, PHC Harimandir, Block Kamarkuchi. District RRT investigated the outbreak. House to house survey conducted. Cases presented after consuming food in a religious gathering. A total of 03 Stool, 03 water and food samples collected and sent to DPHL Nalbari. All ...",3,57192284951607940109.pdf,Assam
94,AS/DBG/2019/45/1460,Assam,Dibrugarh,Food poisoning,38.0,0.0,08-11-19,08-11-19,Under Control,"Cases reported from Village 01 No Kecheruguri, SC Kumarchuk, Block PHC Naharani. District RRT investigated the outbreak. Cases presented with fever, headache, pain abdomen, diarrhea and vomiting after consuming food in a religious ceremony. A total of 03 rectal swab samples collected and tested at M...",2,57227886241578632023.pdf,Assam
95,AS/DHE/2023/37/1258,Assam,Dhemaji,Acute Diarrheal Disease,19.0,9.0,01-01-23,07-01-23,Under Surveillance,"Cases were reported from Sub-District Jonai, District Dhemaji. Cases presented with loose motion, vomiting and pain abdomen. Total 2 stool samples and 1 water sample were collected and sent to DPHL Lakhimpur. District RRT investigated the outbreak. All the cases developed the symptoms after consumpt...",2,57241746311700469239.pdf,Assam
96,AS/DBG/2020/20/308,Assam,Dibrugarh,Acute Diarrheal Disease,16.0,5.0,01-01-20,07-01-20,Under Investigation,"Cases reported from Village 26 Ghoria Gaon, SC Satishghoria, PHC/Block Barbaruah. District RRT investigated the outbreak. House to house survey done. 01 stool sample collected and sent to Microbiology Dept, AMCH, Dibrugarh. All cases treated symptomatically ORS packets were distributed in the commun...",3,57704139231597648582.pdf,Assam
97,AS/DBG/2020/09/0179,Assam,Dibrugarh,Hepatitis A,6.0,2.0,20-02-20,25-02-20,Under Surveillance,"Cases reported from Village Thanai Boroline Thanai TE, PHC/Block Lahoal. District RRT investigated the outbreak. Active case search done. The index case a 10 year old child presented with fever, yellowish discolouration of eyes, vomiting, headache, loss of appetite, pain abdomen. A total of 02 blood...",2,58051976421592202723.pdf,Assam
98,AS/DBG/2020/09/0180,Assam,Dibrugarh,Food Poisoning,6.0,2.0,20-02-20,25-02-20,Under Surveillance,"Cases reported from Village Kalayanpur, PHC/Block Naharani. District RRT investigated the outbreak. Active case search done. Cases presented with headache, fever, diarrhea, pain abdomen and vomiting after consuming food in a social gathering. Water samples collected and sent to Public Health departm...",2,58051976421592202723.pdf,Assam
99,AS/JRT/2020/09/0181,Assam,Jorhat,Suspected Typhoid,6.0,2.0,20-02-20,25-02-20,Under Surveillance,"Cases reported from Titabor, BPHC Bojalkota, SC 2 no. Ajay Nagar. District RRT investigated the outbreak. Active case search done. Cases presented with fever, pain abdomen, generalized weakness and body ache. The health and hygiene in the affected area was satisfactory. Most of the cases were below ...",2,58051976421592202723.pdf,Assam
100,AS/DHE/2019/11/0251,Assam,Dhemaji,Food Poisoning,33.0,0.0,11-03-19,18-03-19,Under Surveillance,"Cases reported from Village Manikpur, SC Simen Chapori, PHC Simen Chapori, BPHC Jonai. District RRT investigated the outbreak. The cases had history of consuming breakfast in a gathering after which they developed headache, vertigo and loose stools. 4 food samples were taken and sent to State Public...",2,58135622001555071060.pdf,Assam
101,AS/JRT/2019/11/0252,Assam,Jorhat,Acute Diarrheal Disease,33.0,0.0,11-03-19,18-03-19,Under Surveillance,"Cases reported from Village Kakojan, BPHC Fesual SC Boidiha TE 1 no. line, 3 no. line. Field line and maj line. District RRT investigated the outbreak. All the affected were tea garden estate workers living in unhygienic conditions. Pond water was used for drinking. 3 stool samples collected and sen...",2,58135622001555071060.pdf,Assam
102,AS/LKM/2019/11/0254,Assam,Lakhimpur,Food Poisoning,33.0,0.0,11-03-19,18-03-19,Under Surveillance,"Cases reported from Village Arkeb bali, SC Modergur, BPHC Dhakuakhana. District RRT investigated the outbreak. House to house survey done. All the cases had history of consuming pork meat in a marriage ceremony. All cases treated. One water sample taken and sent to DPHL Lakhimpur, result awaited. IE...",2,58135622001555071060.pdf,Assam
103,AS/KAD/2023/20/400,Assam,Karbi Anglong,Dysentery (Shigella),15.0,5.0,01-01-23,07-01-23,Under Control,"Cases reported from Village Gour Basty Block Manja, District Karbi Anglong. Case presented with complaints of pain abdomen, loose stools. 3 stool samples and 1 water sample were collected sent to DPHL, Diphu. District RRT investigated the outbreak. The affected cases were of the age group 0-60 years...",2,59542223571689673947.pdf,Assam
104,AS/UAL/2020/18/286,Assam,Udalguri,Food Poisoning,3.0,5.0,01-01-20,07-01-20,Under Investigation,"Cases reported from Village Bamunjuli Tea Estate, BPHC Khoirabari. District RRT investigated the outbreak. Active search of cases done. All the cases consumed food (mushroom) in a social ceremony and presented symptoms with loose motion and vomiting. 03 stool samples and 03 water samples collected a...",3,5964152161596712701.pdf,Assam
105,MG/RIB/2021/12/0139,Meghalaya,Ri Bhoi,Acute Diarrheal Disease,2.0,2.0,18-03-21,25-03-21,Under Control,"Cases reported from Hostel (Gram Tarang Employability Training Services, Upper Balian). The cases presented with watery stools and vomiting. 04 stool samples were sent for lab. analysis out of which one tested positive for Campylobacter coli. District RRT investigated the outbreak. Health Education ...",3,59880574731623130107.pdf,Meghalaya
106,AR/AJW/2020/11/0246,Arunachal Pradesh,Anjaw,Food Poisoning,27.0,2.0,14-03-20,14-03-20,Under Surveillance,"Cases reported from Sarti Govt. Boarding School, Walong, Under PHC Walong, Anjaw. District RRT investigated the outbreak. House to house survey conducted. Cases presented with vomiting, abdominal cramps and pain with seizures after consuming jungle fruit. All cases treated. Health education given.",3,63008264611592915163.pdf,Arunachal Pradesh
107,AS/DAR/2020/11/0247,Assam,Darrang (Mangaldoi),Food Poisoning,27.0,2.0,14-03-20,14-03-20,Under Control,Cases reported from Village/SC Mollapara BPHC Jaljali. District RRT investigated the outbreak. House to house survey conducted. Cases presented with pain abdomen and loose stools after consuming food in a social gathering. A single water sample was collected and sent to DPHL Darrang was was found sa...,3,63008264611592915163.pdf,Assam
108,AS/LKM/2020/11/0248,Assam,Lakhimpur,Food Poisoning,27.0,2.0,14-03-20,14-03-20,Under Surveillance,"Cases reported from Lukampur, SC Dolohat, BPHC Nowboicha. District RRT investigated the outbreak. House to house survey conducted. Cases presented with fever, loose stools, pain abdomen and vomiting after consuming food in a religious gathering. A total of 04 stool samples collected and result await...",3,63008264611592915163.pdf,Assam
109,AS/GOA/2025/22/916,Assam,Goalpara,Hepatitis A,30.0,5.0,01-01-25,07-01-25,Under Surveillance,"Cases were reported from Village Barowa, Sub-Distrcit Dudhnai, District Goalpara. Cases presented with yellowish discolouration of sclera, icterus, abdominal pain, fever and headache. The most affected age group was 6-30 years. Eight blood samples were collected and tested at DPHL Goalpara, out of w...",4,63053630001754370208.pdf,Assam
110,AS/DAR/2023/35/1079,Assam,Darrang,Acute Diarrheal Disease,31.0,8.0,01-01-23,07-01-23,Under Control,"Cases were reported from Kumarpara village, Jaljali BPHC, Sub-District Mangaldoi (Pt), District Darrang. Cases presented with symptoms of abdominal pain, vomiting and loose motion. 1 water & 3 rectal swab samples were sent to DPHL, Darrang. Water sample was found to be satisfactory for drinking by H...",2,6334518031698667764.pdf,Assam
111,MZ/SER/2020/53/531,Mizoram,Serchhip,Acute Diarrheal Disease,13.0,0.0,03-01-21,05-01-21,Under Surveillance,"Cases reported from Chhiahtlang, Block Serchhip. 36 people having Acute diarrheal disease were inspected. District RRT investigated the outbreak. Health Education was given regarding pre-boiling of water for drinking.",3,6601227421612941709.pdf,Mizoram
112,AS/UAL/2021/35/0419,Assam,Udalguri,Acute Diarrheal Disease,34.0,0.0,31-08-21,02-09-21,Under Surveillance,"Cases reported from Village Simaluguri, SC Gelabil, SD Dhansirighat, BPHC Orang, District Udalguri. Cases presented with vomiting and loose stools. Water samples collected. Result awaited. District RRT investigated the outbreak. Health education was given.",3,67323893291638446578.pdf,Assam
113,AS/BKA/2022/22/351,Assam,Baksa,Acute Diarrheal Disease,31.0,5.0,01-01-22,07-01-22,Under Control,"Cases reported from Nagrijuli Model hospital. Cases presented with loose stools and vomiting. Three stool samples were collected and sent to DPHL, Nalbari and showed E. coli on culture. District RRT investigated the outbreak and house to house survey was conducted. All cases were given symptomatic t...",3,69983681661495600.pdf,Assam
114,AS/BON/2022/22/352,Assam,Bongaigaon,Food Poisoning,4.0,6.0,01-01-22,07-01-22,Under Control,Cases reported from Abhayapuri CHC. Cases reported from Abhaypauri CHC. Cases presented with loose stools and vomiting. The cases had consumed food in a religious ceremony. Food samples were sent for food analysis and no extrameous harmful substance was detected. District RRT investigated the outbre...,3,69983681661495600.pdf,Assam
115,AR/PPM/2019/37/1172,Arunachal Pradesh,Papumpare,Acute Diarrheal Disease,55.0,0.0,12-09-19,16-09-19,Under Control,"Cases reported from Vivekananda Kendra Vidyakaya, Sher, School under CHC Kimin. District RRT investigated the outbreak. A total of 07 water samples were collected and 01 sample was found positive for bacteriological growth. Source of contamination was use of contaminated water supply and unhygienic ...",2,70521842991573621699.pdf,Arunachal Pradesh
116,AR/UPS/2019/37/1173,Arunachal Pradesh,Upper Subansiri,Acute Diarrheal Disease,55.0,0.0,12-09-19,16-09-19,Under Control,"Cases reported from Sun View School, Digbak village under District Hospital Daporijo. District RRT investigated the outbreak. Poor hygienic condition were observed in kitchen and store room. People consumed water directly from the tap. A total of 02 stool samples were collected and tested at Dr. Lal...",2,70521842991573621699.pdf,Arunachal Pradesh
117,AS/DAR/2021/33/0392,Assam,Darrang (Mangaldoi),Food Poisoning,51.0,0.0,15-08-21,19-08-21,Under Surveillance,"Cases reported from Jaljali, Gossaingaon, Gerimari, District Darrang (Mangaldoi). District RRT investigated the outbreak. Water samples and Two rectal swab samples were collected and sent for further lab investigation, the water was found to be fit for drinking purpose. District RRT investigated the...",3,71204470671637580725.pdf,Assam
118,AS/DRG/2025/15/622,Assam,Darrang,Food Poisoning,6.0,4.0,01-01-25,07-01-25,Under Surveillance,"Cases were reported from Village Tengabari, Sub-District Mangaldoi (Pt), District Darrang. Cases presented with loose stools, pain abdomen and vomiting. 2 water samples were collected and sent to DPHL Darrang. Both the water samples found fit for potable purpose. District RRT investigated the outbre...",2,73169914541749106418.pdf,Assam
119,AS/UAL/2019/48/1565,Assam,Udalguri,Acute Diarrheal Disease,9.0,1.0,26-11-19,28-11-19,Under Control,"Cases reported from Village Amguri, SC Baligaon, PHC/Block Orang. District RRT investigated the outbreak. Cases consumed water from tube well and presented symptoms of loose motion and vomiting. 3 water and 3 stool samples collected and sent to DPHL Darrang. All cases treated. Health education given...",2,73655817411579588506.pdf,Assam
120,MH/AMN/2020/29/376,Meghalaya,South West Garo Hills,Acute Diarrhoeal Diarrhoea,1.0,1.0,12-07-20,15-07-20,Under Control,"Cases reported from Village Rangiyam, HSC Periyakarukkai, PHC Varatharajanpettai, Block Andimadam. District RRT investigated the outbreak. House to house survey conducted. A total of 6 ring wells were identified as a source of contamination. The deceased was a 2y4m old female child. Water samples we...",3,75493226621600316927.pdf,Meghalaya
121,AS/DAR/2025/19/788,Assam,Darrang,Food Poisoning,8.0,5.0,01-01-25,07-01-25,Under Control,"Cases were reported from Village Baldeyapara, HWC Nayak Para, Sub- District Sipajhar, District Darrang. Cases presented with loose stools, fever and pain abdomen. 9 rectal swabs and 2 water samples were tested. Rectal swabs did not show growth of any pathogenic organism. Both the water samples found...",2,75788759701752062509.pdf,Assam
122,AS/GLP/2022/37/725,Assam,Goalpara,Acute Diarrheal Disease,16.0,9.0,01-01-22,07-01-22,Under Control,"Case reported from PHC/Block: Ambari Bazar Model hospital/ Agia BPHC with vomiting and loose motions. District RRT Deployed, Treatment Given, Health education was given regarding cleanliness and hygiene. ORS satchet were distributed.",3,75891972881670501228.pdf,Assam
123,AR/DVL/2017/22/0788,Arunachal Pradesh,Dibang Valley,Acute Gastroenteritis,28.0,0.0,01-01-17,07-01-17,Under Surveillance,"Cases reported from Village Sirang. Akoka & Poblung, CHC Dambuk. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",3,76224562731499776651.pdf,Arunachal Pradesh
124,AS/DAR/2017/22/0789,Assam,Darrang,Food Poisoning,10.0,0.0,01-01-17,07-01-17,Under Control,"Cases reported from Village/SC 1 No Chengapara, PHC Patharighat. District RRT investigated the outbreak. House to house survey done. All cases had consumed food containing flattened rice, curd and jaggery. at a social function. 01 Water Sample tested and found potable. All cases treated symptomatica...",3,76224562731499776651.pdf,Assam
125,MG/EKH/2020/27/360,Meghalaya,West Khasi Hills (Nongstoin),Acute Diarrhoeal Disease,43.0,0.0,01-07-20,03-07-20,Under Control,"Cases reported from Village Nonglanglieh, PHC Maweit, Block Nongstoin. District RRT investigated the outbreak. House to house survey conducted. The deceased were 1m, 2m, 2y and 71y, among these two were members of the same family. All cases treated. Health education given",3,76245669481599205071.pdf,Meghalaya
126,AS/LKM/2019/24/0632,Assam,Lakhimpur,Food Poisoning,12.0,6.0,01-01-19,07-01-19,Under Investigation,"Cases reported from Village Murtia, SC Batomari. BPHC Dhakuakhana. District RRT investigated the outbreak. District RRT members investigated the outbreak. All cases consumed Maha Prasad in a religious ceremony and presented symptoms with loose motion and vomiting. 3 rectal swabs were collected and s...",1,7691730161563359625.pdf,Assam
127,AS/DAR/2019/35/1080,Assam,Darrang (Mangaldoi),Acute Diarrheal Disease,7.0,0.0,28-08-19,28-08-19,Under Control,"Cases reported from Village/SC 4 no. Nanglichar, BPHC Jalajli. District RRT investigated the outbreak. Cases presented with loose stools, pain abdomen and fever; cases were distributed across all age groups, both men and women were affected. The cases belonged to families with poor socio-economic co...",2,77063109021572417436.pdf,Assam
128,AS/DHE/2020/28/367,Assam,Dhemaji,Food Poisoning,99.0,0.0,10-07-20,10-07-20,Under Control,"Cases reported from Village 1 No. Bharalichuk, Bharalichuk Telijaan, SC Dhemaji, Urban Health, PHC Dhemaji Urban Health, BPHC Dhemaji. District RRT investigated the outbreak. House to house survey conducted. Food samples collected and sent to State Public Health Laboratory, Guwahati, result awaited....",3,7996614701600316906.pdf,Assam
129,AS/DBG/2019/19/0478,Assam,Dibrugarh,Acute Diarrheal Disease,9.0,0.0,09-05-19,10-05-19,Under Control,"Cases reported from Village/SC Naharpara Borbill, PHC/Block Naharani. District RRT investigated the outbreak. House to house survey done. Water samples from tube well were collected and sent to Microbiology Dept, AMCH, Dibrugarh; result awaited. All cases treated symptomatically. Halogen tablets and...",2,80647405011559539826.pdf,Assam
130,AS/DBG/2019/19/0479,Assam,Dibrugarh,Food Poisoning,9.0,0.0,09-05-19,10-05-19,Under Control,"Cases reported from Longboi Tea Estate, SC Rajgarh, PHC/Block Naharani. District RRT investigated the outbreak. Active search of cases done. Cases consumed food (wild mushroom) and presented symptoms with vomiting and loose motion. Symptomatic treatment given to all cases. Health education given reg...",2,80647405011559539826.pdf,Assam
